"RK_name","RK_PK","RK_TM","RK_Player","RK_College","RK_Yrs","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK__3P","RK_FT","RK_MP2","RK_PTS2","RK_TRB2","RK_AST2","RK_WS","RK_WS_48","RK_BPM","RK_VORP"
"57","57","BRK","Aleksandar Vezenkov","","","","","","","","","","","","","","","","","",""
"58","58","NYK","Ognjen Jaramaz","","","","","","","","","","","","","","","","","",""
"59","59","SAS","Jaron Blossomgame","Clemson","1","27","439","114","98","13",".443",".256",".769","16.3","4.2","3.6","0.5","0.3",".030","-3.8","-0.2"
"60","60","ATL","Alpha Kaba","","","","","","","","","","","","","","","","","",""
"1","1","PHO","Deandre Ayton","Arizona","2","109","3419","1849","1165","197",".570",".176",".748","31.4","17.0","10.7","1.8","9.0",".126","0.3","2.0"
"2","2","SAC","Marvin Bagley","Duke","2","75","1901","1108","568","72",".497",".288",".703","25.3","14.8","7.6","1.0","4.0",".100","-1.4","0.3"
"3","3","ATL","Luka Dončić","","2","133","4365","3285","1136","967",".445",".321",".737","32.8","24.7","8.5","7.3","13.7",".151","6.0","8.8"
"4","4","MEM","Jaren Jackson","Michigan State","2","115","3137","1788","534","142",".485",".384",".757","27.3","15.5","4.6","1.2","6.8",".104","0.1","1.7"
"5","5","DAL","Trae Young","Oklahoma","2","141","4623","3327","556","1213",".428",".344",".847","32.8","23.6","3.9","8.6","9.1",".095","1.5","4.0"
"6","6","ORL","Mohamed Bamba","Texas","2","109","1644","624","535","81",".471",".328",".624","15.1","5.7","4.9","0.7","4.2",".121","-0.4","0.7"
"7","7","CHI","Wendell Carter","Duke","2","87","2366","939","712","129",".508",".197",".761","27.2","10.8","8.2","1.5","5.2",".105","-2.0","0.0"
"8","8","CLE","Collin Sexton","Alabama","2","147","4748","2720","440","435",".450",".392",".843","32.3","18.5","3.0","3.0","1.9",".019","-3.4","-1.7"
"9","9","NYK","Kevin Knox","Kentucky","2","140","3324","1382","519","143",".367",".337",".697","23.7","9.9","3.7","1.0","-1.2","-.017","-5.2","-2.7"
"10","10","PHI","Mikal Bridges","Villanova","2","155","4459","1351","556","302",".467",".345",".825","28.8","8.7","3.6","1.9","7.7",".083","-0.5","1.7"
"11","11","CHO","Shai Gilgeous-Alexander","Kentucky","2","152","4602","2220","644","502",".473",".354",".804","30.3","14.6","4.2","3.3","9.5",".099","0.7","3.1"
"12","12","LAC","Miles Bridges","Michigan State","2","145","3691","1440","685","209",".440",".328",".788","25.5","9.9","4.7","1.4","4.5",".059","-1.7","0.3"
"13","13","LAC","Jerome Robinson","Boston College","2","96","1299","431","170","106",".379",".319",".697","13.5","4.5","1.8","1.1","0.3",".010","-4.1","-0.7"
"14","14","DEN","Michael Porter","Missouri","1","55","903","512","259","46",".509",".422",".833","16.4","9.3","4.7","0.8","2.9",".154","1.5","0.8"
"15","15","WAS","Troy Brown","Oregon","2","121","2512","964","528","258",".432",".335",".758","20.8","8.0","4.4","2.1","3.0",".058","-1.7","0.2"
"16","16","PHO","Zhaire Smith","Texas Tech","2","13","143","48","15","12",".378",".316",".667","11.0","3.7","1.2","0.9","0.0",".011","-6.1","-0.2"
"17","17","MIL","Donte DiVincenzo","Villanova","2","93","1931","741","383","185",".445",".318",".735","20.8","8.0","4.1","2.0","4.9",".121","0.6","1.3"
"18","18","SAS","Lonnie Walker","Miami (FL)","2","78","1106","434","156","77",".417",".404",".732","14.2","5.6","2.0","1.0","0.4",".016","-3.4","-0.4"
